,Distance,speed,speed (km/h),dx,t(s)
2970,2535.0,57.6298970843339,207.46762950360204,1.0,0.017352104560183917
2971,2536.0,57.62532709083277,207.45117752699798,1.0,0.017353480673935877
2972,2536.0,57.62532709083277,207.45117752699798,0.0,0.0
2973,2537.0,57.62076619015734,207.43475828456644,1.0,0.017354854267293968
2974,2538.0,57.616214365595305,207.4183717161431,1.0,0.017356225344043703
2975,2539.0,57.611671600459815,207.40201776165534,1.0,0.017357593907968098
2976,2539.0,57.611671600459815,207.40201776165534,0.0,0.0
2977,2540.0,57.60713787808945,207.38569636112203,1.0,0.017358959962847666
2978,2541.0,57.60261318184823,207.3694074546536,1.0,0.01736032351246038
2979,2542.0,57.59809749512554,207.35315098245195,1.0,0.017361684560581687
2980,2543.0,57.59359080133618,207.33692688481025,1.0,0.017363043110984494
2981,2543.0,57.59359080133618,207.33692688481025,0.0,0.0
2982,2544.0,57.58909308392028,207.32073510211302,1.0,0.01736439916743913
2983,2545.0,57.584604326343346,207.30457557483604,1.0,0.017365752733713376
2984,2546.0,57.58012451209617,207.2884482435462,1.0,0.017367103813572416
2985,2547.0,57.575653624694866,207.27235304890152,1.0,0.01736845241077886
