,Distance,speed,speed (km/h),dx,t(s)
3990,3218.0,34.68665134072491,124.87194482660966,0.0,0.0
3991,3219.0,34.871009144279824,125.53563291940738,1.0,0.028677116737931805
3992,3220.0,35.05304160777067,126.19094978797443,1.0,0.028528194819428074
3993,3220.0,35.05304160777067,126.19094978797443,0.0,0.0
3994,3221.0,35.232811695588126,126.83812210411726,1.0,0.028382634024216143
3995,3221.0,35.232811695588126,126.83812210411726,0.0,0.0
3996,3222.0,35.41037965709966,127.47736676555878,1.0,0.028240307211716196
3997,3223.0,35.58580318578379,128.10889146882164,1.0,0.02810109398906278
3998,3223.0,35.58580318578379,128.10889146882164,0.0,0.0
3999,3224.0,35.75913756665824,128.73289523996968,1.0,0.027964880252939833
4000,3225.0,35.93043581303261,129.34956892691739,1.0,0.027831557769117908
4001,3225.0,35.93043581303261,129.34956892691739,0.0,0.0
4002,3226.0,36.099748793510734,129.95909565663865,1.0,0.027701023786064663
4003,3226.0,36.099748793510734,129.95909565663865,0.0,0.0
4004,3227.0,36.26712535007519,130.56165126027068,1.0,0.027573180679398037
4005,3228.0,36.43261240800377,131.15740466881357,1.0,0.027447935624301072
4006,3228.0,36.43261240800377,131.15740466881357,0.0,0.0
4007,3229.0,36.59625507829469,131.7465182818609,1.0,0.0273252002933246
4008,3230.0,36.758096753212264,132.32914831156415,1.0,0.027204890577274262
4009,3230.0,36.758096753212264,132.32914831156415,0.0,0.0
4010,3231.0,36.91817919550675,132.90544510382432,1.0,0.027086926327117136
4011,3232.0,37.07654262181035,133.47555343851727,1.0,0.02697123111505408
4012,3232.0,37.07654262181035,133.47555343851727,0.0,0.0
4013,3233.0,37.23322578066505,134.0396128103942,1.0,0.026857732013090652
4014,3234.0,37.38826602559682,134.59775769214855,1.0,0.026746359387605143
4015,3234.0,37.38826602559682,134.59775769214855,0.0,0.0
4016,3235.0,37.54169938361305,135.150117781007,1.0,0.026637046708559493
4017,3236.0,37.69356061946734,135.69681823008244,1.0,0.02652973037212984
4018,3236.0,37.69356061946734,135.69681823008244,0.0,0.0
4019,3237.0,37.84388329600524,136.23797986561885,1.0,0.026424349535650295
4020,3238.0,37.99269983087781,136.7737193911601,1.0,0.026320845963867773
4021,3238.0,37.99269983087781,136.7737193911601,0.0,0.0
4022,3239.0,38.14004154988542,137.30414957958752,1.0,0.026219163885598973
4023,3240.0,38.285938737191955,137.82937945389105,1.0,0.02611924985996423
4024,3240.0,38.285938737191955,137.82937945389105,0.0,0.0
4025,3241.0,38.4304206826301,138.34951445746836,1.0,0.026021052651447635
4026,3242.0,38.573515726299824,138.86465661467938,1.0,0.02592452311310036
4027,3242.0,38.573515726299824,138.86465661467938,0.0,0.0
4028,3243.0,38.71525130064623,139.37490468232645,1.0,0.02582961407726438
4029,3244.0,38.85565397018782,139.88035429267615,1.0,0.025736280253248464
4030,3244.0,38.85565397018782,139.88035429267615,0.0,0.0
4031,3245.0,38.99474946905274,140.38109808858988,1.0,0.025644478131437318
4032,3246.0,39.132562736468465,140.87722585128648,1.0,0.025554165893359158
4033,3246.0,39.132562736468465,140.87722585128648,0.0,0.0
4034,3247.0,39.26911795033881,141.36882462121972,1.0,0.025465303327277106
4035,3248.0,39.40443855903234,141.85597881251644,1.0,0.02537785174890605
4036,3249.0,39.538547311496586,142.33877032138773,1.0,0.025291773926889593
4037,3249.0,39.538547311496586,142.33877032138773,0.0,0.0
4038,3250.0,39.6714662858041,142.81727862889477,1.0,0.025207034012701378
4039,3251.0,39.803216916228536,143.29158089842272,1.0,0.025123597474662425
4040,3251.0,39.803216916228536,143.29158089842272,0.0,0.0
4041,3252.0,39.93382001894179,143.76175206819045,1.0,0.025041431035790478
4042,3253.0,40.06329581641662,144.22786493909985,1.0,0.024960502615220013
4043,3253.0,40.06329581641662,144.22786493909985,0.0,0.0
4044,3254.0,40.19166396061324,144.68999025820767,1.0,0.024880781272951857
4045,3255.0,40.318943555022685,145.14819679808167,1.0,0.024802237157710107
4046,3256.0,40.4451531756349,145.60255143228565,1.0,0.024724841457700875
4047,3256.0,40.4451531756349,145.60255143228565,0.0,0.0
4048,3257.0,40.57031089089454,146.05311920722033,1.0,0.02464856635408324
4049,3258.0,40.69443428070334,146.49996341053202,1.0,0.024573384976976673
4050,3258.0,40.69443428070334,146.49996341053202,0.0,0.0
4051,3259.0,40.81754045452391,146.94314563628606,1.0,0.02449927136384249
4052,3260.0,40.939646068636,147.3827258470896,1.0,0.024426200420088716
4053,3261.0,41.06076734259315,147.81876243333537,1.0,0.024354147881758655
4054,3261.0,41.06076734259315,147.81876243333537,0.0,0.0
4055,3262.0,41.18092007492415,148.25131226972695,1.0,0.024283090280173683
4056,3263.0,41.30011965812119,148.6804307692363,1.0,0.024213004908409788
4057,3263.0,41.30011965812119,148.6804307692363,0.0,0.0
4058,3264.0,41.41838109295364,149.1061719346331,1.0,0.024143869789496106
4059,3265.0,41.535719002144006,149.52858840771842,1.0,0.02407566364623137
4060,3266.0,41.65214764344036,149.9477315163853,1.0,0.024008365872521493
4061,3266.0,41.65214764344036,149.9477315163853,0.0,0.0
4062,3267.0,41.76768092211717,150.36365131962182,1.0,0.023941956506148075
4063,3268.0,41.88233240293485,150.77639665056546,1.0,0.02387641620288383
4064,3269.0,41.99611532158608,151.1860151577099,1.0,0.02381172621187651
4065,3269.0,41.99611532158608,151.1860151577099,0.0,0.0
4066,3270.0,42.10904259565553,151.5925533443599,1.0,0.023747868352228266
4067,3271.0,42.2211268351179,151.99605660642445,1.0,0.023684824990702017
4068,3272.0,42.33238035239768,152.39656926863165,1.0,0.023622579020491124
4069,3272.0,42.33238035239768,152.39656926863165,0.0,0.0
4070,3273.0,42.44281517201273,152.79413461924582,1.0,0.023561113840992604
4071,3274.0,42.5524430398224,153.18879494336065,1.0,0.02350041333852811
4072,3275.0,42.66127543189974,153.58059155483906,1.0,0.02344046186796036
4073,3275.0,42.66127543189974,153.58059155483906,0.0,0.0
4074,3276.0,42.769323563046214,153.96956482696638,1.0,0.023381244235156095
4075,3277.0,42.87659839496633,154.35575422187878,1.0,0.02332274568024965
4076,3278.0,42.9831106441185,154.7391983188266,1.0,0.02326495186166413
4077,3278.0,42.9831106441185,154.7391983188266,0.0,0.0
4078,3279.0,43.088870789257626,155.11993484132745,1.0,0.023207848840849813
