"Format","MoTeC CSV",,,"Workbook","Samples"
"Venue","Interlagos",,,"Worksheet","Graph"
"Vehicle","SupV8: Calvin Klos #10",,,"Vehicle Desc","SupV8: Calvin Klos #10"
"Driver","Joao Guilherme",,,"Engine ID",""
"Device","ADL"
"Comment","(Exported from rFactor Data Acquisition Plugin v1.3.2.0)",,,"Session",""
"Log Date","21/03/2020",,,"Origin Time","0.000","s"
"Log Time","01:18",,,"Start Time","0.000","s"
"Sample Rate","102.400","Hz",,"End Time","318.896","s"
"Duration","318.896","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","11163","m"

"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"s","m","rpm","km/h","%","G","G"


"2.324","3","1990","13.2","19.05","0.141","-0.250"
"2.334","3","1985","13.3","19.05","0.142","-0.249"
"2.344","3","1980","13.3","19.05","0.144","-0.249"
"2.354","3","1975","13.4","19.05","0.145","-0.249"
"2.363","3","1971","13.5","19.05","0.146","-0.249"
"2.373","3","1966","13.6","19.05","0.147","-0.249"
"2.383","3","1962","13.7","19.05","0.149","-0.249"
"2.393","3","1957","13.8","19.05","0.151","-0.248"
"2.402","3","1953","13.9","19.05","0.153","-0.247"
"2.412","3","1949","14.0","19.05","0.154","-0.247"
"2.422","3","1945","14.1","19.05","0.155","-0.247"
"2.432","3","1942","14.2","19.05","0.157","-0.246"
"2.441","3","1938","14.3","19.05","0.159","-0.246"
"2.451","3","1934","14.3","19.05","0.168","-0.242"
"2.461","3","1931","14.4","19.05","0.172","-0.240"
"2.471","3","1928","14.5","19.05","0.175","-0.239"
"2.480","3","1925","14.6","19.05","0.180","-0.239"
"2.490","3","1921","14.7","19.05","0.184","-0.238"
"2.500","3","1919","14.8","19.05","0.187","-0.237"
"2.510","3","1916","14.9","19.05","0.194","-0.234"
"2.520","3","1913","15.0","19.05","0.196","-0.234"
"2.529","3","1910","15.0","19.05","0.194","-0.233"
"2.539","3","1908","15.1","19.05","0.193","-0.232"
"2.549","3","1905","15.2","19.05","0.192","-0.232"
"2.559","3","1903","15.3","19.05","0.188","-0.233"
"2.568","4","1900","15.4","19.05","0.186","-0.233"
"2.578","4","1898","15.5","19.05","0.187","-0.231"
"2.588","4","1896","15.6","19.05","0.186","-0.231"
"2.598","4","1894","15.7","19.05","0.183","-0.230"
"2.607","4","1891","15.8","19.05","0.181","-0.230"
"2.617","4","1889","15.8","19.05","0.180","-0.230"
"2.627","4","1888","15.9","19.05","0.179","-0.230"
"2.637","4","1886","16.0","19.05","0.179","-0.230"
"2.646","4","1884","16.1","19.05","0.180","-0.230"
"2.656","4","1882","16.2","19.05","0.182","-0.230"
"2.666","4","1880","16.3","19.05","0.183","-0.229"
"2.676","4","1879","16.4","19.05","0.186","-0.229"
"2.686","4","1877","16.4","19.05","0.185","-0.230"
"2.695","4","1876","16.5","19.05","0.187","-0.230"
"2.705","4","1874","16.6","19.05","0.191","-0.229"
"2.715","4","1873","16.7","19.05","0.195","-0.229"
"2.725","4","1871","16.8","19.05","0.198","-0.229"
"2.734","4","1870","16.9","19.05","0.200","-0.229"
"2.744","4","1868","17.0","19.05","0.201","-0.229"
"2.754","4","1867","17.0","19.05","0.203","-0.230"
"2.764","4","1866","17.1","19.05","0.206","-0.230"
"2.773","4","1865","17.2","19.05","0.208","-0.230"
"2.783","5","1864","17.3","19.05","0.209","-0.230"
"2.793","5","1863","17.4","19.05","0.210","-0.229"
