"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"164358.63888888893","2019-01-12T18:41:18.087Z","-7.942887900000001","-34.915420350000005","61.83366731661282","15.972","16.07","3","165"
"164469.86111111118","2019-01-12T18:41:18.197Z","-7.9428786","-34.9154326","61.91166731661282","15.604","15.815000000000001","3","165"
"164500","2019-01-12T18:41:18.227Z","-7.942876111188811","-34.915435851748256","61.888342141787604","15.403258741258899","15.67202797202824","3","165"
"164636.69444444455","2019-01-12T18:41:18.362Z","-7.942864999999999","-34.9154506","61.970167316612816","15.176","15.24","3","165"
"164747.9166666668","2019-01-12T18:41:18.472Z","-7.94285595","-34.91546255","62.04216731661282","14.988","15.125","3","165"
"164859.13888888905","2019-01-12T18:41:18.582Z","-7.94284755","-34.915474","62.11516731661281","14.49","14.74","3","165"
"164970.3611111113","2019-01-12T18:41:18.692Z","-7.9428391000000005","-34.9154855","62.12616731661282","14.3765","14.365","3","165"
"165000","2019-01-12T18:41:18.721Z","-7.942836761538462","-34.91548878131868","62.156244239689514","14.42725274725325","14.545714285714741","3","165"
"165137.19444444455","2019-01-12T18:41:18.857Z","-7.942826500000001","-34.91550235","62.29766731661282","14.0085","14.219999999999999","3","165"
"165248.4166666667","2019-01-12T18:41:18.967Z","-7.94281815","-34.91551320000001","62.33566731661281","13.754999999999999","13.844999999999999","3","165"
"165359.63888888893","2019-01-12T18:41:19.077Z","-7.94280965","-34.9155236","62.392667316612815","13.5405","13.655","3","165"
"165470.86111111118","2019-01-12T18:41:19.187Z","-7.94280135","-34.91553385","62.415167316612816","13.2905","13.445","3","165"
"165500","2019-01-12T18:41:19.216Z","-7.942799101698301","-34.91553661508492","62.40462286106834","13.274924075924314","13.228561438561522","3","165"
"165637.69444444455","2019-01-12T18:41:19.352Z","-7.9427889","-34.9155485","62.44116731661282","12.9085","13.024999999999999","3","165"
"165748.9166666668","2019-01-12T18:41:19.462Z","-7.94278035","-34.915558000000004","62.45666731661282","12.813500000000001","12.875","3","165"
