,Distance,Turn Radius
790,672.0,148.96144
791,673.0,151.8608
792,674.0,151.93535
793,675.0,147.91125
794,676.0,147.7695
795,677.0,149.40251
796,678.0,153.20679
797,679.0,158.7493
798,680.0,160.83107
799,681.0,158.65178
800,682.0,156.75114
801,683.0,159.43274
802,684.0,162.5904
803,685.0,161.43774
804,686.0,159.75172
805,687.0,160.70546
806,688.0,162.41791
807,689.0,163.51508
808,689.0,165.27043
809,690.0,168.51398
810,691.0,166.93687
811,692.0,162.29002
812,693.0,160.33186
813,694.0,157.709
814,695.0,157.05817
815,696.0,157.67896
816,697.0,158.70537
817,698.0,161.12535
818,699.0,164.47516
819,700.0,169.4403
820,701.0,177.49158
821,702.0,189.62567
822,703.0,203.63622
823,704.0,216.57565
824,705.0,229.4478
825,706.0,241.48357
826,707.0,245.75803
827,708.0,250.28363
828,709.0,248.69006
829,710.0,249.63828
830,711.0,251.06842
831,712.0,254.4832
832,713.0,260.4947
833,714.0,267.79465
834,715.0,274.6265
835,716.0,281.66534
836,717.0,285.29932
837,718.0,295.1371
838,719.0,305.76514
839,720.0,317.92496
840,721.0,331.48196
841,722.0,343.01193
842,723.0,347.777
843,724.0,343.75223
844,725.0,323.1728
845,726.0,298.92166
846,727.0,278.32224
847,728.0,261.06827
848,729.0,248.8624
849,730.0,242.99284
850,731.0,238.44688
851,732.0,229.25816
852,733.0,243.80293
853,734.0,234.09415
854,735.0,266.8675
855,737.0,263.78568
856,738.0,284.02682
857,739.0,314.2328
858,740.0,326.8052
859,741.0,397.73965
860,742.0,378.69302
861,743.0,407.79562
862,744.0,375.00003
863,745.0,366.7446
864,746.0,352.76968
865,747.0,334.00916
866,748.0,324.68817
867,749.0,325.44476
868,750.0,325.9796
869,751.0,359.08032
870,752.0,367.6541
871,753.0,377.20145
872,754.0,416.1815
873,755.0,441.9579
874,756.0,467.40048
875,757.0,543.25806
876,758.0,545.4074
877,759.0,605.3299
878,760.0,597.7905
879,761.0,757.8437
880,763.0,703.26227
881,764.0,775.1941
882,765.0,861.77277
883,766.0,760.0147
884,767.0,1064.3574
885,768.0,749.48987
886,769.0,918.4694
887,770.0,884.88654
888,771.0,948.27325
889,772.0,1099.3273
890,773.0,1048.5564
891,774.0,976.4555
892,775.0,1236.5939
893,776.0,769.44604
894,777.0,1350.6528
895,778.0,911.7515
896,780.0,944.80884
897,781.0,881.5904
898,782.0,778.10535
899,783.0,768.723
900,784.0,772.6099
901,785.0,675.65955
902,786.0,955.7785
903,787.0,662.4831
904,788.0,770.5474
905,789.0,828.3858
906,790.0,726.6378
907,791.0,759.5255
908,793.0,947.50397
909,794.0,643.2226
910,795.0,1091.8555
911,796.0,720.7182
912,797.0,824.6517
913,798.0,903.1606
914,799.0,756.26605
915,800.0,759.0463
916,801.0,920.96796
917,802.0,669.24066
918,803.0,794.82074
919,805.0,810.1389
920,806.0,701.80865
921,807.0,848.27435
922,808.0,852.1525
923,809.0,810.6211
924,810.0,940.5018
925,811.0,1022.04877
926,812.0,822.50397
927,813.0,1260.484
928,814.0,1130.7405
929,816.0,1013.4654
930,817.0,1135.66
931,818.0,1108.9236
932,819.0,985.63806
933,820.0,1150.3771
934,821.0,1361.2896
935,822.0,1058.7097
936,823.0,1351.5066
937,825.0,1401.8125
938,826.0,1420.818
939,827.0,1702.6094
940,828.0,1930.8081
941,829.0,1799.7422
942,830.0,2597.0103
943,831.0,3084.9888
944,832.0,3994.6658
945,833.0,6734.9873
946,835.0,14739.139
947,836.0,3367029.8
948,837.0,-13229.581
949,838.0,-7717.0356
950,839.0,-8341.346
951,840.0,-5172.4365
952,841.0,-5752.379
953,843.0,-4085.1465
954,844.0,-3883.2285
955,845.0,-4057.04
956,846.0,-4012.4126
957,847.0,-4259.819
958,848.0,-5444.891
959,849.0,-4362.87
960,851.0,-5729.0537
961,852.0,-4313.9595
962,853.0,-4049.2148
963,854.0,-4110.7715
964,855.0,-3757.5623
965,856.0,-3732.4038
966,857.0,-4640.773
967,859.0,-4122.6045
968,860.0,-4772.8213
969,861.0,-5273.7905
970,862.0,-4948.4316
971,863.0,-5544.2993
972,864.0,-5537.327
973,865.0,-5395.1084
974,867.0,-6032.538
975,868.0,-5286.1797
976,869.0,-4225.3633
977,870.0,-4661.1045
978,871.0,-3984.8276
979,872.0,-3733.5405
980,874.0,-3841.2227
981,875.0,-3670.6367
982,876.0,-3522.0366
983,877.0,-4318.4463
984,878.0,-4384.5757
985,879.0,-4667.5947
986,881.0,-5722.935
987,882.0,-5087.588
988,883.0,-4923.719
989,884.0,-5239.429
990,885.0,-5174.42
991,886.0,-4655.3447
992,888.0,-4519.3447
993,889.0,-3963.0195
994,890.0,-3620.1736
995,891.0,-3595.0305
996,892.0,-3819.5332
997,893.0,-3842.6436
998,895.0,-3996.2214
999,896.0,-5025.0054
1000,897.0,-6525.1924
1001,898.0,-7242.2524
1002,899.0,-8132.68
1003,901.0,-9131.026
1004,902.0,-7878.1587
1005,903.0,-7232.3916
1006,904.0,-7775.141
1007,905.0,-7881.007
1008,906.0,-6450.0327
1009,908.0,-7512.9067
1010,909.0,-7580.6855
1011,910.0,-5834.7236
1012,911.0,-7398.8228
1013,912.0,-9771.535
1014,914.0,-8105.2153
1015,915.0,-6694.708
1016,916.0,-8648.199
1017,917.0,-8177.4556
1018,918.0,-4821.393
1019,920.0,-4199.694
1020,921.0,-4268.73
1021,922.0,-3969.6553
1022,923.0,-3498.921
1023,924.0,-3363.25
1024,926.0,-3614.5771
1025,927.0,-3505.1814
1026,928.0,-2757.2627
1027,929.0,-2740.0754
1028,930.0,-2867.7659
1029,932.0,-2534.2256
1030,933.0,-2188.8757
1031,934.0,-2003.0883
1032,935.0,-1843.4724
1033,936.0,-1621.2589
1034,938.0,-1450.4385
1035,939.0,-1327.9517
1036,940.0,-1289.0693
1037,941.0,-1258.5364
1038,943.0,-1237.9924
1039,944.0,-1258.1854
1040,945.0,-1330.419
1041,946.0,-1404.9661
1042,947.0,-1358.0201
1043,949.0,-1279.3849
1044,950.0,-1296.1464
1045,951.0,-1330.4781
1046,952.0,-1300.4838
1047,954.0,-1296.8204
1048,955.0,-1365.9539
1049,956.0,-1423.687
1050,957.0,-1419.5925
1051,958.0,-1416.2963
1052,960.0,-1465.1052
1053,961.0,-1503.1395
1054,962.0,-1509.8025
1055,963.0,-1450.5046
1056,965.0,-1375.9906
1057,966.0,-1352.3386
1058,967.0,-1341.9414
1059,968.0,-1232.8378
1060,969.0,-1188.9758
1061,971.0,-1228.1367
1062,972.0,-1309.0267
1063,973.0,-1412.795
1064,974.0,-1482.6562
1065,976.0,-1505.3575
1066,977.0,-1582.1147
1067,978.0,-1716.8812
1068,979.0,-1778.3885
1069,981.0,-1828.4397
1070,982.0,-2027.7263
1071,983.0,-2208.168
1072,984.0,-2221.786
1073,985.0,-2092.734
1074,987.0,-1919.948
1075,988.0,-1799.714
1076,989.0,-1782.338
1077,990.0,-1762.2644
1078,992.0,-1777.6895
1079,993.0,-1929.9788
1080,994.0,-2229.9194
1081,995.0,-2500.7942
1082,997.0,-2497.5454
1083,998.0,-2360.141
1084,999.0,-2146.7598
1085,1000.0,-2104.6323
1086,1002.0,-1905.4856
1087,1003.0,-1730.8448
1088,1004.0,-1606.8344
1089,1005.0,-1532.4229
1090,1007.0,-1518.7505
1091,1008.0,-1564.902
1092,1009.0,-1592.7625
1093,1010.0,-1680.1616
1094,1012.0,-1881.1655
1095,1013.0,-2253.9795
1096,1014.0,-2723.653
1097,1015.0,-2981.9214
1098,1017.0,-2819.8086
1099,1018.0,-2566.0017
1100,1019.0,-2587.2756
1101,1020.0,-2521.631
1102,1022.0,-2656.3965
1103,1023.0,-2615.6543
1104,1024.0,-2624.4548
1105,1025.0,-2765.3672
1106,1027.0,-3002.3467
1107,1028.0,-3396.8906
1108,1029.0,-4365.938
1109,1031.0,-5514.8296
1110,1032.0,-12389.398
1111,1033.0,-24946.031
1112,1034.0,-303438.2
1113,1036.0,31968.355
1114,1037.0,19271.988
1115,1038.0,14068.55
1116,1039.0,9008.645
1117,1041.0,6827.0986
1118,1042.0,5353.4814
1119,1043.0,5157.953
1120,1045.0,5087.1235
1121,1046.0,5488.6426
1122,1047.0,6544.096
1123,1048.0,7684.195
1124,1050.0,8187.889
1125,1051.0,7649.2817
1126,1052.0,6799.811
1127,1053.0,7096.1685
1128,1055.0,7050.3994
1129,1056.0,7834.783
1130,1057.0,9265.659
1131,1059.0,10751.78
1132,1060.0,14491.389
1133,1061.0,13857.058
1134,1062.0,17159.52
1135,1064.0,9222.459
1136,1065.0,8477.53
1137,1066.0,7553.2705
1138,1068.0,7105.6064
1139,1069.0,7325.695
1140,1070.0,6976.4604
1141,1071.0,7638.105
1142,1073.0,7188.476
1143,1074.0,7277.8013
1144,1075.0,6198.019
1145,1077.0,5138.815
1146,1078.0,4335.5933
1147,1079.0,3969.209
1148,1080.0,4030.4453
1149,1082.0,4029.904
1150,1083.0,4278.3315
1151,1084.0,3939.9885
1152,1086.0,4244.127
1153,1087.0,4251.755
1154,1088.0,4163.8604
1155,1090.0,4002.7607
1156,1091.0,3853.8132
1157,1092.0,4154.5713
1158,1093.0,3725.2869
1159,1095.0,3734.647
1160,1096.0,3423.918
1161,1097.0,3350.067
1162,1099.0,3246.6494
1163,1100.0,3169.275
1164,1101.0,3143.1504
1165,1103.0,2956.5312
1166,1104.0,2749.9604
1167,1105.0,2481.7166
1168,1106.0,2258.1013
1169,1108.0,2224.4468
1170,1109.0,2221.935
1171,1110.0,2259.999
1172,1112.0,2289.2427
1173,1113.0,2266.0212
1174,1114.0,2467.1482
1175,1116.0,2584.7937
1176,1117.0,2897.5723
1177,1118.0,3503.3416
1178,1120.0,4078.635
1179,1121.0,4477.439
1180,1122.0,4381.9644
1181,1124.0,3845.208
1182,1125.0,3595.2493
1183,1126.0,3286.7915
1184,1128.0,3211.409
1185,1129.0,3344.8699
1186,1130.0,3419.7085
1187,1131.0,3551.7373
