cx,cy
-480.4273141,388.0041764
-475.9441093,385.4933989
-471.704743,382.8424041
-467.2563078,380.7008786
-462.6005342,379.0581737
-457.7931606,377.9339555
-452.8917403,377.3416831
-447.9549525,377.2884472
-443.0418999,377.774885
-438.211401,378.795173
-433.5212859,380.3370964
-429.0277041,382.3821955
-424.7844523,384.9059866
-420.8423302,387.8782552
-417.2485323,391.2634176
-414.0460833,395.0209471
-411.2733225,399.1058589
-408.9634449,403.4692491
-407.1441043,408.0588795
-405.8370815,412.8198036
-405.0580241,417.6950243
-404.8162588,422.626176
-405.1146801,427.5542235
-405.9497152,432.4201689
-407.3113672,437.1657575
-409.1833347,441.7341757
-411.5432065,446.0707311
-414.3627307,450.1235068
-417.6081521,453.8439835
-421.240617,457.1876201
-425.216638,460.1143871
-429.4886146,462.5892453
-433.9456805,464.8552029
-438.6043082,467.2236339
-443.262936,469.5920649
-447.9215637,471.9604958
-452.5801915,474.3289268
-457.2388192,476.6973578
-461.897447,479.0657888
-466.5560747,481.4342198
-470.9723894,483.7786099
-475.1492431,486.1853442
-479.2416482,488.733029
-483.24485,491.4187043
-487.1541977,494.2392501
-490.9651492,497.1913892
-494.6732771,500.2716919
-498.2742732,503.4765795
-501.7639538,506.8023286
-505.1382645,510.2450752
-508.3932852,513.8008195
-511.5252341,517.4654304
-514.5304724,521.2346505
-517.4055087,525.1041005
-520.1470027,529.069285
-522.7517694,533.1255971
-525.3813613,537.3782723
-527.7780562,541.2542979
-530.1747512,545.1303234
-532.5714462,549.006349
-534.9681412,552.8823746
-537.3648361,556.7584002
-539.7615311,560.6344258
-542.0299094,565.0902602
-543.4949852,569.6989035
-544.2053649,574.4823543
-544.142819,579.3178614
-543.3089527,584.0813378
-541.7251641,588.650545
-539.4320959,592.9082297
-536.4885921,596.7451329
-532.9701875,600.0627932
-528.9671703,602.7760743
-524.5822644,604.8153488
-519.9279935,606.1282857
-515.1237938,606.6811929
-510.292949,606.459882
-505.5594262,605.4700319
-501.0446954,603.7370441
-496.864612,601.3053897
-491.6323565,597.6713575
-486.9628998,594.4282137
